id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like
13JjdKeIUy6P916p3MemXn,Do You Love Her Now,Jai Paul,0.71,0.336,2,-11.001,1,0.542,0.0204,0.114,0.34,80.002,274995,4,1
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,0.44,0.04,3,-16.887,1,0.981,0.465,0.111,0.249,135.965,193749,4,1
2oMcO1wRkPTmDwUExKHvag,Warm Blood,Benjamim,0.803,0.765,10,-5.858,0,0.202,2.87e-05,0.0736,0.916,93.969,244924,4,1
3RDVwJ5F6KmzG07GhHHhHG,Os Teus Passos,Benjamim,0.654,0.847,11,-8.522,1,0.334,0.00295,0.0873,0.973,152.368,202187,4,1
6ICYVfKaPWxRJ8ebJKqk6x,Diary,Benjamim,0.735,0.545,10,-8.241,0,0.209,0.0128,0.0871,0.196,99.986,331156,4,1
2ei4MO7n4zrmFV9YKcUkGt,All I Want,Benjamim,0.8,0.726,2,-7.364,1,0.206,0.00058,0.144,0.914,117.992,282369,4,1
2oMcO1wRkPTmDwUExKHvag,Warm Blood,Benjamim,0.803,0.765,10,-5.858,0,0.202,2.87e-05,0.0736,0.916,93.969,244924,4,1
4n2sAfXQF3jPQDbLt7lUoS,Nothing Else,Benjamim,0.615,0.735,0,-7.451,1,0.195,0.488,0.128,0.43,139.948,373878,4,1
1MC0qr9bQpPt3S99YVK8pa,Eu Quero Ser o Que Tu Quiseres,Benjamim,0.766,0.398,2,-9.973,1,0.266,0.12,0.344,0.582,119.878,212106,4,1
1VvVWDAVaHayP31YXKOSdQ,Tarrafal,Benjamim,0.855,0.846,7,-6.59,1,0.144,0.00317,0.195,0.945,120.022,256131,4,1
5N3WuheaRYymNYs9zE4aKE,Sintoniza,Benjamim,0.559,0.942,5,-8.371,1,0.0249,0.314,0.671,0.772,180.031,309261,4,1
4ATTsPeg04rs0sbNrJQKC9,O Quinito Foi para a Guiné,Benjamim,0.635,0.379,11,-9.306,1,0.441,0.00319,0.114,0.509,110.122,222652,3,1
2cgHbND6w1n2IwD49Fkdsc,O Sangue,Benjamim,0.705,0.251,0,-14.521,1,0.939,1.48e-06,0.11,0.52,105.986,98979,4,1
6I92KP1cileNLuMtNtZJ1L,Meteorologia,Benjamim,0.535,0.472,7,-12.647,0,0.802,0.507,0.574,0.58,145.953,86501,4,1
7hsZqujDj7XllwcBeOBJw2,Volkswagen,Benjamim,0.796,0.401,2,-10.895,1,0.841,0.00479,0.1,0.622,110.289,272548,4,1
4FlK6zdvr5sV1WC69zrHXu,Rosie,Benjamim,0.683,0.523,7,-10.23,1,0.897,0.0,0.839,0.565,84.503,164360,4,1
4DEAif3s806vjCBJIgIg2i,Do Céu e da Terra,Benjamim,0.537,0.404,2,-10.648,1,0.685,0.00122,0.155,0.776,151.989,263250,4,1
4HzPhi3bO5xqkIcYd2JSzt,Auto Rádio,Benjamim,0.585,0.914,4,-7.216,0,0.213,0.0215,0.0441,0.796,134.02,388551,4,1
