id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like,key_object
4m1KsLnr0vI8nntJnsrXTI,Quem Me Dera,Valter Lobo,0.414,0.065,9,-11.982000000000001,1,0.9359999999999999,5.31e-05,0.10800000000000001,0.41100000000000003,174.679,243227,3,1,A
3p5cvrXVxBN2ety8OB4luc,JOAQUIM,S. PEDRO,0.9309999999999999,0.276,9,-13.045,1,0.44299999999999995,0.168,0.0969,0.473,119.902,183133,3,1,A
0u4rkpmNtgcFxYHepnVF4v,Carry You,Novo Amor,0.33399999999999996,0.397,7,-7.992999999999999,1,0.5579999999999999,0.0774,0.126,0.035,93.445,273107,4,1,G
7Bq0iyHYCOJ7lzRIC9fCDh,Ladies and Gentlemen We Are Floating in Space,Spiritualized,0.37799999999999995,0.409,2,-11.468,1,0.753,0.000528,0.23399999999999999,0.184,100.087,234053,3,1,D
0QQIhT6PtJ5glyn4HKNKQ6,All the Pretty Girls,KALEO,0.466,0.496,1,-6.606,1,0.626,6.22e-06,0.11699999999999999,0.35200000000000004,74.747,269893,4,1,C♯
54KFQB6N4pn926IUUYZGzK,To Build A Home,Patrick Watson,0.264,0.122,9,-15.399000000000001,1,0.885,0.349,0.094,0.0735,148.658,371320,4,1,A
2KCqAdd2ad0hpJc5ySoTE8,Coastline,Hollow Coves,0.67,0.496,2,-11.23,1,0.627,0.00325,0.0584,0.42700000000000005,100.17,233973,4,1,D
1mbuSss0OVqfS00y7yCNCZ,Ruthless,The Marías,0.6729999999999999,0.43700000000000006,9,-11.745999999999999,1,0.713,0.152,0.11699999999999999,0.551,104.99600000000001,247455,4,1,A
0IuE6FnXPCdZ8NLuuvJRhb,On Track,Tame Impala,0.38799999999999996,0.648,2,-5.577999999999999,1,0.11599999999999999,4.19e-06,0.08199999999999999,0.11199999999999999,163.861,301787,4,1,D
0dUx3ieX3SszKtpEtlBcoN,Ayrton Senna,Norberto Lobo,0.306,0.447,3,-10.645,1,0.539,0.856,0.124,0.41700000000000004,119.54799999999999,173307,4,1,D♯
