id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3YufkKqsssZ8wt9T24ULSj,Everybody Wants to Love You,Japanese Breakfast,0.47,0.877,7,-3.32,1,0.392,0.144,0.308,0.681,129.959,132632,4
0aiCRTUgEMeU68fIXfOFnq,Wut,Girl Unit,0.501,0.794,5,-7.052,0,0.00109,0.94,0.277,0.134,139.975,419056,4
1pzJboOZaDNwshBnOlNh3a,1+1,Beyoncé,0.303,0.384,6,-7.342,1,0.381,5.14e-06,0.0661,0.261,63.345,273880,5
47uhrF6IvyE2eUyyfLAEzf,Katy On a Mission,Katy B,0.675,0.731,8,-5.211,1,0.0232,8.16e-06,0.0856,0.507,139.898,219120,4
53dkS3h9uTNsWYZTPacnpx,Oldie,Odd Future,0.839,0.583,1,-5.941,1,0.239,0.0,0.262,0.564,87.99,636213,4
1TFdSG786lkY22jKsMDZ35,Clarks,Gaza Slim,0.631,0.802,8,-5.316,1,0.0886,0.0,0.103,0.772,101.872,183893,4
0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),2 Chainz,0.652,0.795,11,-5.192,0,0.156,0.0,0.123,0.788,135.018,304607,4
4ou5xyFUJX4VwX76tw1qb1,Fall,DaVido,0.928,0.675,5,-3.535,1,0.379,0.0,0.0533,0.794,105.952,240000,4
6it15CsDlkqB7N4lF0C1qM,Caro,Bad Bunny,0.651,0.575,0,-7.739,1,0.627,0.000202,0.0961,0.248,160.007,229456,4
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),ScHoolboy Q,0.742,0.595,9,-7.51,1,0.15,0.0,0.111,0.431,101.013,227000,4
5mWhSQfWEeBZD9YTd4yyFc,Dum Surfer,King Krule,0.651,0.944,2,-5.48,1,0.0855,0.145,0.116,0.676,119.983,263440,4
5IXTT9RvcVupmzLTFqIInj,New York,St. Vincent,0.373,0.449,10,-11.646,1,0.892,1.26e-05,0.175,0.327,137.866,154960,4
4J3FltfCktHfD9iPCneDGy,Kiss,Lil Peep,0.346,0.769,4,-7.224,1,0.00829,0.0,0.0815,0.163,150.589,250267,4
1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.131,0.0,0.0527,0.522,104.945,228293,4
64qtZmx57W6XbnqTn3eSE0,Marijuanaut's Theme,Sleep,0.177,0.874,5,-7.099,1,0.0188,0.773,0.356,0.322,149.322,400416,3
608a1wIsSd5KzMEqm1O7w3,I'm On One,Lil Wayne,0.413,0.807,11,-3.499,0,0.0536,0.0,0.631,0.438,149.33,296147,4
4lY95OMGb9WxP6IYut64ir,Shake It Out,Florence + The Machine,0.527,0.804,10,-4.168,1,0.0104,0.0,0.105,0.221,107.486,277720,4
4HJ8PUKMGrqApp1U6IIaZF,Come On A Cone,Nicki Minaj,0.732,0.824,6,-4.406,0,0.342,0.0,0.239,0.732,154.061,185293,4
5zOnoB8FdZudDcPX4O8WqF,(No One Knows Me) Like the Piano,Sampha,0.621,0.199,10,-13.788,1,0.976,0.00186,0.107,0.178,128.905,218160,4
203xmWRHAyqwW6AkGkhhVM,The Space Program,A Tribe Called Quest,0.612,0.705,1,-5.898,1,0.427,0.0,0.658,0.533,101.876,341040,4
316r1KLN0bcmpr7TZcMCXT,The Sound,The 1975,0.646,0.938,0,-4.735,1,0.0875,6.52e-06,0.447,0.545,120.708,248880,4
0fsqJ5gEoZ6MGmXnQjIlmZ,My Life,Rich Kidz,0.51,0.847,8,-5.809,1,0.0823,0.0,0.143,0.273,135.179,223583,4
1qe9hue6nh9KPHvRlA1hob,My Queen Is Harriet Tubman,Sons Of Kemet,0.644,0.76,11,-7.713,0,0.0545,0.882,0.188,0.605,139.422,338133,4
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Lil Uzi Vert,0.927,0.665,11,-5.313,1,0.061,0.0,0.123,0.175,127.076,343150,4
40xhyfAPDoMtv494MfPevP,XO,Beyoncé,0.47,0.792,0,-8.932,1,0.171,1.28e-06,0.313,0.214,170.085,215947,4
0D21XvHcVsIvJM6FcGY2BT,OOOUUU,Young M.A,0.64,0.819,7,-4.108,1,0.533,0.0,0.156,0.623,166.012,234526,4
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,0.776,0.503,0,-5.732,0,0.874,0.0,0.112,0.473,110.134,210285,4
3buy5Ooz6uNL48W1yBUzbM,Seventeen,Sharon Van Etten,0.537,0.772,5,-7.367,1,0.0168,0.208,0.0686,0.242,127.097,265920,4
44GokgCa37BTZP2NU2zkoJ,Shutdown,Skepta,0.656,0.746,7,-4.716,1,0.126,0.0,0.508,0.824,104.044,188939,3
6Ype94Pq1fdg0zogE05AfQ,Dawn Chorus,Thom Yorke,0.261,0.174,7,-16.161,1,0.854,0.893,0.169,0.0393,138.999,323080,4
2qwn6whaZf7gax7SaqUZSC,Incredible,Future,0.79,0.438,1,-6.462,1,0.0634,0.0,0.1,0.247,90.022,248050,4
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),Beyoncé,0.759,0.716,11,-6.36,0,0.0223,0.0,0.231,0.469,105.009,209733,4
0Yp3wCUpjrG7NWWPDpmQXm,Paranoid (feat. B.o.B),B.o.B,0.858,0.398,1,-11.306,1,0.00888,0.0,0.112,0.258,97.476,216520,4
1nrsFfACPG4Hnw5AuOpCND,Smack A Bitch,Rico Nasty,0.703,0.7,2,-2.417,1,0.0055,0.0,0.115,0.34,169.861,138353,4
3ZD9gRzWJtDsC72rMiwqAa,Baby Luv,Nilüfer Yanya,0.828,0.447,1,-8.298,1,0.463,1.13e-06,0.103,0.681,115.979,207971,4
7gUux50RnQ0SC0lXIZuod3,Wonton Soup,Lil B,0.645,0.797,4,-5.943,0,0.0363,0.0,0.247,0.367,129.956,351240,4
68rdZO4AcPakdi2zaS7kPI,I'm Not Part of Me,Cloud Nothings,0.389,0.955,1,-4.962,1,0.0524,0.652,0.0815,0.431,86.927,275309,4
17vPVgWbYv0QGjO3LFn7Iw,Believer,John Maus,0.517,0.67,0,-7.628,1,4.31e-05,0.0307,0.324,0.239,117.426,245293,4
582YjxdRTGri2bdGlG7xaS,The Line,dvsn,0.399,0.226,0,-11.731,0,0.411,0.000256,0.105,0.165,119.903,431923,4
6dfXwa0dI1sBm4CIePuOYM,Levels,Avicii,0.601,0.834,1,-6.573,0,0.0295,0.888,0.34,0.352,125.991,338867,4
3uMB82o0qa7erhiZBW9KQC,Big For Your Boots,Stormzy,0.515,0.902,6,-4.729,0,0.0313,0.0,0.093,0.628,174.589,238419,5
6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),Charli XCX,0.711,0.906,8,-2.671,1,0.00952,1.64e-05,0.153,0.824,125.916,157153,4
