id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4QvJwV47HSt6eV3NNjS6rU,We Paid (feat. 42 Dugg),42 Dugg,0.93,0.522,1.0,-5.35,0.0,0.125,0.0,0.0844,0.605,135.116,181929.0,4.0
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,0.794,0.793,11.0,-4.521,0.0,0.0125,0.0,0.0952,0.677,123.941,183290.0,4.0
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Ariana Grande,0.672,0.855,9.0,-3.764,1.0,0.021,0.0,0.323,0.646,123.056,182200.0,4.0
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,0.73,0.729,4.0,-3.434,0.0,0.167,1.39e-06,0.349,0.467,113.013,221820.0,4.0
3npzogdOEiVsieXmmhBepL,The Bones,Maren Morris,0.612,0.57,11.0,-6.642,0.0,0.279,0.0,0.0963,0.335,77.004,197293.0,4.0
6NhS5LwYbJ6xD7BGvlWRJO,One Margarita,Luke Bryan,0.641,0.842,9.0,-4.872,1.0,0.0969,0.0,0.169,0.738,89.997,193427.0,4.0
44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,Lil Baby,0.59,0.618,1.0,-5.756,1.0,0.0127,0.0,0.244,0.153,96.459,252729.0,3.0
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,0.548,0.805,7.0,-5.732,1.0,0.212,0.000389,0.408,0.648,142.094,216387.0,4.0
2Hc4t9N2nt37oO4sF9BynI,I Hope,Gabby Barrett,0.561,0.536,6.0,-6.227,1.0,0.0951,0.0,0.114,0.378,150.01,209229.0,4.0
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Drake,0.676,0.609,2.0,-5.831,0.0,0.0706,0.0,0.152,0.508,142.037,237735.0,4.0
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,0.784,0.43,10.0,-8.756,0.0,0.123,0.0,0.0887,0.236,127.087,159382.0,4.0
