id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
3jueczirq2DTNyB93TJXWf,Algo Estranho Acontece,António Zambujo,0.855,0.254,2,-11.289,0,0.871,0.00483,0.217,0.445,119.932,214187,4,2016
1cDjEIfiKJ6Oo1xxWVUm9F,Hunger Of The Pine,alt-J,0.356,0.508,2,-8.313,1,0.678,0.0851,0.951,0.0378,93.819,321000,4,2016
4zolucjtFImLJjMApnjoet,Zero To Hero,Tawatha Agee,0.472,0.835,0,-7.734,1,0.467,0.0,0.377,0.715,164.864,140267,4,2016
0YtFqZhheQZIrVc0qbqL8D,Re-tratamento,Da Weasel,0.841,0.475,4,-7.512,1,0.0743,0.000506,0.115,0.451,174.963,245693,4,2016
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Halsey,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4,2016
7atIHMnLUJ5ikdnosz1GwU,Barbie Girl,Aqua,0.81,0.956,1,-5.753,0,0.0167,0.281,0.35,0.961,129.996,197907,4,2016
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),Wisin,0.724,0.904,8,-3.354,0,0.0786,0.0,0.226,0.846,90.999,200813,4,2016
6OrNf46vJrHqNP3IFpmvhV,Lambreta,António Zambujo,0.695,0.171,9,-12.284,1,0.849,0.0349,0.108,0.396,132.887,144240,3,2016
4GC1Y6ALSWw8zBp4urbqp9,Dizer Que Não (feat. Matay),Matay,0.646,0.657,6,-7.47,1,0.355,0.0,0.107,0.407,95.994,232480,4,2016
14WWzenpaEgQZlqPq2nk4v,Work,Drake,0.725,0.534,11,-6.238,1,0.0752,0.0,0.0919,0.558,91.974,219320,4,2016
5WObuDOxPHlQaoYUf2W4lh,Flowers In Your Hair,The Lumineers,0.675,0.608,7,-10.088,1,0.741,8.73e-05,0.217,0.583,127.451,110560,4,2016
1dILRjV0gwHAdZ1hHjW5T3,One Jump Ahead,Brad Kane,0.558,0.323,7,-16.439,1,0.437,0.0,0.751,0.659,123.661,142440,4,2016
27PmvZoffODNFW2p7ehZTQ,Don't Mind,Kent Jones,0.464,0.771,8,-4.503,1,0.0235,0.0,0.063,0.69,158.777,198237,4,2016
0tuMqARcfpmrmpwGtPMZS8,Fitzpleasure,alt-J,0.572,0.842,11,-5.771,0,0.0331,2.46e-05,0.931,0.414,143.968,223693,4,2016
5OFcjrC1OiRSBylQgF5HDD,Slow It Down,The Lumineers,0.431,0.065,1,-14.558,1,0.93,0.0,0.0917,0.106,142.55,307000,4,2016
1Xl0Rt4bMdEw5n0nMax2qH,The Train (feat. Carla Morrison),Carla Morrison,0.678,0.415,0,-11.561,1,0.665,0.0,0.106,0.333,114.987,187213,4,2016
37KL1oRZD8yzcke0yYdkE0,Society,Eddie Vedder,0.64,0.328,11,-10.844,0,0.896,0.000541,0.113,0.295,80.689,236307,4,2016
6lXQWATvzJE5nnuztROJIi,You've Got a Friend in Me - Remastered 2015,Randy Newman,0.701,0.442,3,-8.577,1,0.808,1.68e-06,0.294,0.45,115.678,124653,4,2016
0U5bjEnq9DUJS67pVv5WiH,Something Good,alt-J,0.61,0.838,7,-5.37,1,0.496,0.0172,0.978,0.42,109.045,242187,4,2016
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,0.765,0.473,10,-5.829,1,0.287,0.0,0.391,0.34,119.992,237300,4,2016
1nqJvzF8URpip2qbg8izYb,One Day,Kodaline,0.48,0.749,3,-5.553,1,0.0839,0.00128,0.111,0.326,96.015,255560,4,2016
6pO5svQbrKKLZS08tIiEUA,Hawaiian Roller Coaster Ride,Kamehameha Schools Children's Chorus,0.693,0.587,5,-9.64,1,0.224,8.46e-05,0.0768,0.892,114.6,209427,4,2016
42k1KeBehAd83lrGt1okiC,Loca (feat. El Cata),El Cata,0.8,0.692,9,-5.57,0,0.342,1.92e-06,0.0554,0.917,112.002,183693,4,2016
5S8t5fyCTBBuP8Tc5KgIEu,Circle Of Life,Lebo M.,0.419,0.568,10,-8.568,1,0.15,0.0,0.324,0.514,83.709,239253,4,2016
1jdNcAD8Ir58RlsdGjJJdx,Ho Hey,The Lumineers,0.685,0.474,0,-9.105,1,0.779,1.23e-06,0.149,0.36,79.991,161227,4,2016
12qZHAeOyTf93YAWvGDTat,All The Small Things,blink-182,0.442,0.893,0,-4.878,1,0.00844,0.0,0.529,0.712,148.119,168000,4,2016
5gqcOwKXxGTth8CUfN8woT,Brave,Riley Pearce,0.505,0.409,4,-10.588,0,0.569,0.00228,0.153,0.228,116.05,247793,4,2016
1W4SLYqNQsxCSIWpDLXyJN,Canção De Engate - Acoustic Version,Tiago Bettencourt,0.243,0.642,8,-6.67,1,0.251,0.0309,0.882,0.179,73.643,324733,3,2016
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,0.867,0.517,11,-13.222,0,0.00456,0.000339,0.0864,0.866,133.148,257360,4,2016
2cXcizftGUHRwgDgXLSHVb,Boots Of Spanish Leather,The Lumineers,0.58,0.0257,11,-16.587,1,0.909,1.13e-06,0.111,0.261,100.513,281227,4,2016
1O2sxmjod6AsBjdrCbEgiC,Lepo Lepo,J'aime,0.561,0.833,9,-4.752,1,0.209,0.0,0.131,0.6,139.998,161320,4,2016
7w9bgPAmPTtrkt2v16QWvQ,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.701,0.728,2,-4.554,1,0.00971,0.00115,0.361,0.0591,171.388,326467,4,2016
579eDlIhaT8j0txv8H6aOS,Dig a Little Deeper,Pinnacle Gospel Choir,0.715,0.82,0,-4.249,1,0.349,4.62e-06,0.116,0.798,98.001,167933,4,2016
2zKMZc3x4rgVLmzECzIUI3,"Be Our Guest - From ""Beauty and the Beast""",Chorus - Beauty And the Beast,0.51,0.487,2,-11.053,1,0.807,0.0,0.261,0.667,110.728,223040,4,2016
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.607,0.000464,0.0986,0.201,107.989,258987,4,2016
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Wyclef Jean,0.778,0.824,10,-5.892,0,0.284,0.0,0.405,0.756,100.024,218093,4,2016
15twB7zTglmu0Bg8gW4Mrm,Stubborn Love,The Lumineers,0.596,0.555,0,-11.689,1,0.617,0.0395,0.275,0.235,115.019,277333,4,2016
6aPhlSE4dI6COrgzIpGOQp,Down in New Orleans (Finale),Anika Noni Rose,0.575,0.817,0,-3.636,1,0.504,0.000335,0.136,0.796,147.894,97693,4,2016
5qjWSyuU0rTLI8ohmx2K3Q,Kevin (feat. Leon Bridges),Leon Bridges,0.5,0.693,8,-7.078,1,0.546,0.0,0.151,0.371,190.511,280200,4,2016
0Tl84qfow6Dv0PM60zoBhb,La Bomba,azul azul,0.923,0.768,1,-7.321,1,0.119,0.0,0.0689,0.96,94.013,123960,4,2016
70K0ezmzYEZeqoSaZMyP7o,Let It All Go,RHODES,0.383,0.43,10,-8.644,1,0.817,1.04e-06,0.0869,0.174,107.005,280757,4,2016
11KJSRSgaDxqydKYiD2Jew,Too Good,Rihanna,0.804,0.648,7,-7.805,1,0.0573,3.49e-05,0.102,0.392,117.983,263373,4,2016
2253JiMEWoh0AolQG3lcNk,Friends on the Other Side,Keith David,0.405,0.62,9,-7.32,0,0.791,6.17e-05,0.505,0.389,125.021,214960,1,2016
5dNlBvwZWGPtzk21ZTLVx1,Holdin’ Out,The Lumineers,0.479,0.669,11,-11.301,1,0.185,0.0262,0.103,0.336,113.027,186520,4,2016
6rQvEE7Jvkdwnn8RroMs15,I Forget Where We Were,Ben Howard,0.3,0.477,0,-9.555,1,0.438,0.169,0.0924,0.187,112.976,281213,4,2016
5N1itNLaYtifU8YVbg9SBQ,She Treats Me Well,Ben Howard,0.6,0.498,0,-12.637,0,0.389,0.26,0.0691,0.614,79.661,317933,4,2016
7gARZ2i5u5DHC1b1n1fML5,Breezeblocks,alt-J,0.569,0.645,5,-7.368,1,0.118,0.00114,0.146,0.247,74.985,227080,4,2017
36i9NcqbdQFdQfOROpIwMA,Fico Assim Sem Você,Adriana Partimpim,0.809,0.428,10,-8.428,1,0.809,0.0,0.0851,0.507,121.969,188147,4,2017
