id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5MjAFPcmrR1DYCgZrXCN4d,Turnin' Me Up,BJ The Chicago Kid,0.734,0.776,2,-4.193,1,0.0406,0.193,0.0547,0.843,78.542,269173,4
2g9LXMNIBCqmngHpH9nXv0,Wait by the River,Lord Huron,0.476,0.543,0,-5.158,1,0.151,0.0633,0.0982,0.342,163.942,191307,3
4lboLlUWSw20PU2qcYgUny,Wow Freestyle (feat. Kendrick Lamar),Kendrick Lamar,0.782,0.633,8,-4.644,1,0.0355,0.0,0.0615,0.749,150.055,175213,4
4Uoc2mSkjXENcUWhSTNm2I,Too Good,Rihanna,0.787,0.646,7,-7.792,1,0.0504,2.47e-05,0.104,0.426,117.969,263360,4
3Xe4JagghOfs9NF1xaqbb8,Reeling In The Years,Steely Dan,0.52,0.734,2,-10.375,1,0.117,0.0,0.089,0.732,135.17,278800,4
2ppH1UUQzthsvL1rFci6ST,Don't You Worry About a Thing,Black Sugar,0.711,0.571,5,-10.463,1,0.819,0.0929,0.325,0.689,121.966,168781,4
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),H.E.R.,0.524,0.364,7,-10.209,1,0.808,0.0,0.1,0.436,75.24,209831,4
11YWR8tzDTR2P4KZ3lAySj,Drift Away,Dobie Gray,0.508,0.46,11,-7.662,1,0.325,0.0,0.648,0.565,75.836,234301,4
2qdyq2N1XfaA8QhtiOWWFG,I Love You More Than You'll Ever Know,Donny Hathaway,0.304,0.219,0,-15.617,0,0.738,0.000618,0.112,0.199,86.239,322867,3
5fXRPS1tp70DbqsBZVyG4e,Happy,The Rolling Stones,0.555,0.897,4,-3.469,1,0.361,0.94,0.536,0.965,131.712,184627,4
